Identifier,Class,Total,ReadingWriting,Math,Total Percentile,PREACT Composite Percentile_PreACT,PreACT Math Percentile_PreACT,PreACT Science Percentile_PreACT,PreACT English Percentile_PreACT,PreACT Reading_PreACT,Benchmark
0,2029,840.0,460.0,380.0,64,,,,,,Meets/Exceeds
1,2028,920.0,490.0,430.0,67,82.0,52.0,80.0,70.0,96.0,Meets/Exceeds
2,2029,850.0,440.0,410.0,66,,,,,,Meets/Exceeds
4,2028,1050.0,540.0,510.0,86,,,,,,Meets/Exceeds
5,2029,940.0,470.0,470.0,81,,,,,,Meets/Exceeds
6,2029,1040.0,550.0,490.0,92,,,,,,Meets/Exceeds
7,2028,950.0,510.0,440.0,72,95.0,77.0,97.0,94.0,100.0,Meets/Exceeds
8,2028,1030.0,520.0,510.0,83,,,,96.0,82.0,Meets/Exceeds
9,2029,900.0,500.0,400.0,75,,,,,,Meets/Exceeds
10,2029,1060.0,560.0,500.0,93,,,,,,Meets/Exceeds
11,2028,1350.0,720.0,630.0,99,,,,,,Meets/Exceeds
12,2028,1010.0,550.0,460.0,81,,71.0,,,,Meets/Exceeds
13,2029,1140.0,620.0,520.0,97,,,,,,Meets/Exceeds
14,2028,980.0,510.0,470.0,77,,,,94.0,58.0,Meets/Exceeds
15,2029,820.0,420.0,400.0,59,,,,,,Meets/Exceeds
16,2029,870.0,480.0,390.0,70,,,,,,Meets/Exceeds
17,2029,1170.0,640.0,530.0,98,,,,,,Meets/Exceeds
18,2028,1020.0,550.0,470.0,82,,77.0,,,,Meets/Exceeds
19,2028,1160.0,530.0,630.0,94,,,,,,Meets/Exceeds
20,2029,1070.0,570.0,500.0,94,,,,,,Meets/Exceeds
21,2029,970.0,530.0,440.0,85,,,,,,Meets/Exceeds
22,2028,950.0,530.0,420.0,72,,62.0,,,,Meets/Exceeds
23,2029,1290.0,640.0,650.0,99,,,,,,Meets/Exceeds
24,2028,970.0,450.0,520.0,75,,,,64.0,96.0,Meets/Exceeds
25,2029,1050.0,550.0,500.0,92,,,,,,Meets/Exceeds
26,2029,1190.0,620.0,570.0,98,,,,,,Meets/Exceeds
27,2029,1060.0,580.0,480.0,93,,,,,,Meets/Exceeds
28,2029,820.0,400.0,420.0,59,,,,,,Meets/Exceeds
29,2029,1280.0,640.0,640.0,99,,,,,,Meets/Exceeds
30,2029,1030.0,590.0,440.0,91,,,,,,Meets/Exceeds
31,2028,1250.0,640.0,610.0,97,,,,,,Meets/Exceeds
32,2028,830.0,450.0,380.0,49,59.0,52.0,34.0,52.0,72.0,Meets/Exceeds
33,2028,990.0,540.0,450.0,78,,71.0,,,,Meets/Exceeds
34,2028,1110.0,630.0,480.0,91,,52.0,,,,Meets/Exceeds
35,2029,810.0,430.0,380.0,57,,,,,,Meets/Exceeds
36,2028,840.0,450.0,390.0,52,,52.0,80.0,,,Meets/Exceeds
37,2028,1130.0,600.0,530.0,92,,,,,,Meets/Exceeds
38,2029,1010.0,590.0,420.0,89,,,,,,Meets/Exceeds
39,2029,960.0,480.0,480.0,84,,,,,,Meets/Exceeds
40,2029,1080.0,620.0,460.0,94,,,,,,Meets/Exceeds
41,2028,1010.0,500.0,510.0,81,,,,93.0,58.0,Meets/Exceeds
42,2029,1170.0,630.0,540.0,98,,,,,,Meets/Exceeds
43,2029,1140.0,540.0,600.0,97,,,,,,Meets/Exceeds
44,2028,1130.0,580.0,550.0,92,,,,,,Meets/Exceeds
45,2028,870.0,450.0,420.0,58,86.0,85.0,88.0,93.0,63.0,Meets/Exceeds
46,2029,880.0,430.0,450.0,72,,,,,,Meets/Exceeds
47,2029,970.0,580.0,390.0,85,,,,,,Meets/Exceeds
48,2028,1330.0,680.0,650.0,99,,,,,,Meets/Exceeds
49,2029,990.0,600.0,390.0,87,,,,,,Meets/Exceeds
50,2028,1120.0,560.0,560.0,92,,,,,,Meets/Exceeds
51,2028,1120.0,610.0,510.0,92,,,,,,Meets/Exceeds
52,2029,1210.0,620.0,590.0,98,,,,,,Meets/Exceeds
53,2029,1070.0,560.0,510.0,94,,,,,,Meets/Exceeds
54,2029,740.0,370.0,370.0,37,,,,,,Meets/Exceeds
55,2029,830.0,410.0,420.0,61,,,,,,Meets/Exceeds
56,2029,940.0,500.0,440.0,81,,,,,,Meets/Exceeds
57,2029,900.0,480.0,420.0,75,,,,,,Meets/Exceeds
58,2029,860.0,450.0,410.0,68,,,,,,Meets/Exceeds
59,2029,1100.0,540.0,560.0,95,,,,,,Meets/Exceeds
60,2028,1020.0,600.0,420.0,82,,71.0,,,,Meets/Exceeds
61,2028,880.0,470.0,410.0,60,,,,,,Meets/Exceeds
62,2028,980.0,440.0,540.0,77,,,,84.0,58.0,Meets/Exceeds
63,2028,1020.0,510.0,510.0,82,,,,87.0,100.0,Meets/Exceeds
64,2029,1330.0,720.0,610.0,>99,,,,,,Meets/Exceeds
65,2028,1070.0,570.0,500.0,88,,97.0,,,,Meets/Exceeds
66,2029,900.0,480.0,420.0,75,,,,,,Meets/Exceeds
67,2028,850.0,460.0,390.0,54,82.0,39.0,68.0,84.0,100.0,Meets/Exceeds
68,2028,1250.0,650.0,600.0,97,,,,,,Meets/Exceeds
69,2028,1030.0,570.0,460.0,83,,81.0,,,,Meets/Exceeds
70,2028,920.0,510.0,410.0,67,86.0,71.0,88.0,87.0,89.0,Meets/Exceeds
71,2029,1110.0,570.0,540.0,96,,,,,,Meets/Exceeds
72,2029,780.0,420.0,360.0,49,,,,,,Meets/Exceeds
73,2028,1010.0,510.0,500.0,81,,,,90.0,82.0,Meets/Exceeds
74,2029,930.0,520.0,410.0,80,,,,,,Meets/Exceeds
75,2029,810.0,430.0,380.0,57,,,,,,Meets/Exceeds
76,2028,920.0,440.0,480.0,67,66.0,85.0,68.0,45.0,63.0,Meets/Exceeds
77,2028,1100.0,520.0,580.0,90,,,,96.0,89.0,Meets/Exceeds
78,2029,1100.0,610.0,490.0,95,,,,,,Meets/Exceeds
79,2029,1180.0,650.0,530.0,98,,,,,,Meets/Exceeds
80,2028,930.0,460.0,470.0,69,82.0,52.0,80.0,93.0,82.0,Meets/Exceeds
81,2029,760.0,400.0,360.0,43,,,,,,Meets/Exceeds
82,2028,990.0,530.0,460.0,78,90.0,52.0,95.0,87.0,100.0,Meets/Exceeds
83,2028,970.0,490.0,480.0,75,82.0,77.0,85.0,87.0,72.0,Meets/Exceeds
84,2029,1340.0,690.0,650.0,>99,,,,,,Meets/Exceeds
85,2028,980.0,520.0,460.0,77,,,,84.0,82.0,Meets/Exceeds
86,2029,1210.0,600.0,610.0,98,,,,,,Meets/Exceeds
87,2029,900.0,460.0,440.0,75,,,,,,Meets/Exceeds
88,2028,900.0,450.0,450.0,64,82.0,62.0,80.0,96.0,76.0,Meets/Exceeds
89,2029,950.0,520.0,430.0,82,,,,,,Meets/Exceeds
90,2028,970.0,560.0,410.0,75,,,,,,Meets/Exceeds
91,2029,1000.0,550.0,450.0,88,,,,,,Meets/Exceeds
92,2029,1280.0,720.0,560.0,99,,,,,,Meets/Exceeds
93,2028,990.0,540.0,450.0,78,,71.0,,,,Meets/Exceeds
94,2029,920.0,500.0,420.0,78,,,,,,Meets/Exceeds
95,2029,880.0,480.0,400.0,72,,,,,,Meets/Exceeds
96,2028,1360.0,720.0,640.0,99,,,,,,Meets/Exceeds
97,2028,1230.0,690.0,540.0,97,,,,,,Meets/Exceeds
98,2028,960.0,530.0,430.0,74,90.0,71.0,88.0,96.0,89.0,Meets/Exceeds
99,2029,860.0,430.0,430.0,68,,,,,,Meets/Exceeds
100,2028,830.0,410.0,420.0,49,,,,70.0,,Meets/Exceeds
101,2029,1120.0,530.0,590.0,96,,,,,,Meets/Exceeds
102,2029,1240.0,620.0,620.0,99,,,,,,Meets/Exceeds
103,2029,930.0,490.0,440.0,80,,,,,,Meets/Exceeds
104,2029,850.0,450.0,400.0,66,,,,,,Meets/Exceeds
106,2028,1300.0,680.0,620.0,99,,,,,,Meets/Exceeds
107,2028,1020.0,520.0,500.0,82,,,,90.0,76.0,Meets/Exceeds
108,2028,900.0,490.0,410.0,64,72.0,77.0,52.0,87.0,63.0,Meets/Exceeds
109,2029,990.0,530.0,460.0,87,,,,,,Meets/Exceeds
110,2028,1110.0,550.0,560.0,91,,,,,,Meets/Exceeds
111,2029,910.0,500.0,410.0,77,,,,,,Meets/Exceeds
112,2028,1320.0,660.0,660.0,99,,,,,,Meets/Exceeds
113,2029,1160.0,530.0,630.0,97,,,,,,Meets/Exceeds
114,2028,940.0,520.0,420.0,71,,,,71.0,82.0,Meets/Exceeds
115,2028,920.0,500.0,420.0,67,72.0,81.0,80.0,70.0,46.0,Meets/Exceeds
116,2029,1230.0,620.0,610.0,99,,,,,,Meets/Exceeds
117,2029,1090.0,600.0,490.0,95,,,,,,Meets/Exceeds
118,2028,920.0,490.0,430.0,67,82.0,52.0,88.0,70.0,100.0,Meets/Exceeds
119,2029,1400.0,720.0,680.0,>99,,,,,,Meets/Exceeds
120,2028,1070.0,550.0,520.0,88,,,,,,Meets/Exceeds
121,2029,930.0,490.0,440.0,80,,,,,,Meets/Exceeds
122,2028,1100.0,550.0,550.0,90,,,,,,Meets/Exceeds
123,2029,1010.0,530.0,480.0,89,,,,,,Meets/Exceeds
124,2028,1050.0,510.0,540.0,86,,,,94.0,96.0,Meets/Exceeds
125,2029,880.0,500.0,380.0,72,,,,,,Meets/Exceeds
126,2028,1040.0,610.0,430.0,85,,71.0,,,,Meets/Exceeds
127,2029,780.0,410.0,370.0,49,,,,,,Meets/Exceeds
128,2029,1000.0,530.0,470.0,88,,,,,,Meets/Exceeds
129,2028,1350.0,630.0,720.0,99,,,,,,Meets/Exceeds
130,2029,810.0,430.0,380.0,57,,,,,,Meets/Exceeds
131,2029,1140.0,590.0,550.0,97,,,,,,Meets/Exceeds
132,2029,960.0,560.0,400.0,84,,,,,,Meets/Exceeds
133,2029,1190.0,660.0,530.0,98,,,,,,Meets/Exceeds
134,2029,1010.0,520.0,490.0,89,,,,,,Meets/Exceeds
135,2028,1210.0,650.0,560.0,96,,,,,,Meets/Exceeds
136,2028,890.0,430.0,460.0,62,72.0,62.0,80.0,87.0,58.0,Meets/Exceeds
137,2029,1230.0,540.0,690.0,99,,,,,,Meets/Exceeds
138,2028,960.0,530.0,430.0,74,,,,,,Meets/Exceeds
139,2028,1170.0,640.0,530.0,95,,,,,,Meets/Exceeds
140,2029,960.0,530.0,430.0,84,,,,,,Meets/Exceeds
141,2028,1150.0,600.0,550.0,94,,,,,,Meets/Exceeds
142,2028,970.0,500.0,470.0,75,97.0,85.0,88.0,100.0,96.0,Meets/Exceeds
143,2028,1020.0,510.0,510.0,82,,,,,89.0,Meets/Exceeds
144,2029,930.0,470.0,460.0,80,,,,,,Meets/Exceeds
145,2029,790.0,420.0,370.0,52,,,,,,Meets/Exceeds
146,2029,1040.0,560.0,480.0,92,,,,,,Meets/Exceeds
147,2029,920.0,460.0,460.0,78,,,,,,Meets/Exceeds
148,2029,910.0,500.0,410.0,77,,,,,,Meets/Exceeds
149,2029,980.0,480.0,500.0,86,,,,,,Meets/Exceeds
150,2028,1050.0,550.0,500.0,86,,,,,,Meets/Exceeds
151,2028,1110.0,590.0,520.0,91,,,,,,Meets/Exceeds
152,2028,1030.0,570.0,460.0,83,,,,,,Meets/Exceeds
153,2029,1060.0,580.0,480.0,93,,,,,,Meets/Exceeds
154,2028,1070.0,540.0,530.0,88,,,,,,Meets/Exceeds
155,2029,970.0,490.0,480.0,85,,,,,,Meets/Exceeds
156,2029,1060.0,590.0,470.0,93,,,,,,Meets/Exceeds
157,2029,930.0,470.0,460.0,80,,,,,,Meets/Exceeds
158,2028,1020.0,540.0,480.0,82,,,,,,Meets/Exceeds
159,2029,990.0,490.0,500.0,87,,,,,,Meets/Exceeds
160,2029,830.0,410.0,420.0,61,,,,,,Meets/Exceeds
161,2028,1020.0,540.0,480.0,82,,,,,,Meets/Exceeds
162,2029,890.0,500.0,390.0,73,,,,,,Meets/Exceeds
163,2028,1440.0,720.0,720.0,>99,,,,,,Meets/Exceeds
164,2028,1170.0,660.0,510.0,95,,,,,,Meets/Exceeds
165,2028,820.0,420.0,400.0,47,,52.0,,52.0,63.0,Meets/Exceeds
166,2029,1000.0,510.0,490.0,88,,,,,,Meets/Exceeds
167,2029,1030.0,520.0,510.0,91,,,,,,Meets/Exceeds
168,2028,860.0,470.0,390.0,56,,71.0,,70.0,63.0,Meets/Exceeds
169,2029,1210.0,670.0,540.0,98,,,,,,Meets/Exceeds
170,2028,830.0,430.0,400.0,49,77.0,71.0,80.0,70.0,76.0,Meets/Exceeds
